"SCI" "RCI" "GER" "MSM*" "MIG"
"128" 0.4 -3593.45286539403 0.3933476143078 0.303279367575736 248.048672489554
"129" 0.2 -1003.2053282821 0.617888772251103 0.404342927605948 183.075332513137
"130" 0 -4050.11734358843 0.0153091402942362 0.208674282657176 358.212388856616
"131" 0.4 -1497.39539705468 0.769105779233344 0.540257182170335 145.532338900224
"132" 0.4 -1638.38219998386 0.455667759161409 0.326874233295471 231.154618515843
"133" 0.2 -2131.56843692495 0.382622724111839 0.312268816120241 256.023354356457
"134" 0.6 -727.983458582822 0.812104245373655 0.584427252897004 129.455419728486
"135" 0.4 -1198.63875580889 0.381489152121491 0.299439939030391 249.723089660495
"136" 0.2 -4756.48963072718 0.3520069270088 0.294803063451872 263.549078611145
"137" 0 -5173.38769662804 0.0587420289263798 0.220475811383622 350.70529801778
"138" 0.4 -2005.68453818185 0.655210709627234 0.426733757783088 173.675169823552
"139" 0.6 -865.457188740801 0.829096689482405 0.607333817663241 125.255383528164
"140" 0.2 -5143.14303227489 0.285215236180042 0.272235752275268 282.129955264798
"141" 0.4 -2671.2995678776 0.463999065248457 0.330016299360939 234.130486547714
"142" 0.2 -2788.63225574755 0.181879394966214 0.244725830259499 309.885218244081
"143" 0 -3896.86443646177 0.0625070387199429 0.223855817943361 345.967889536684
"144" 0.4 -2878.6111929899 0.445227400764506 0.319343176993867 233.042222922633
"145" 0.4 -1275.92186243945 0.666251342614175 0.439685792451123 171.112199801242
"146" 0.6 -1822.71534548551 0.647508292960719 0.437099335741783 178.145664840471
"147" 0.4 -2817.95619026269 0.384040309529249 0.297297765614114 253.561994456337
"148" 0 -3097.12815223667 0.067865559014647 0.225478433789726 345.280592275993
"149" 0.2 -4699.71568699617 0.216900999344166 0.257083727993047 302.002662106929
"150" 0.2 -5742.13302339733 0.276392941635028 0.269329515288978 293.082778346096
"151" 0.2 -3068.43683230657 0.235079670323121 0.261120207349584 301.543538027583
"152" 0.4 -785.821278095 0.704252364250495 0.468923593187999 158.428720096184
"153" 0 -2662.00331385159 0.0113779802031936 0.208074756491448 358.978579622728
"154" 0 -4496.9348138146 0.0175753697373281 0.209213550352041 358.474188856594
"155" 0.2 -2198.23394549707 0.245197984795203 0.258321097661325 293.564224421338
"156" 0.2 -2259.14916559815 0.164892203937812 0.238890066186112 311.7814860377
"157" 0.4 -3596.62796364377 0.602937173837961 0.394510575484989 192.303533082595
"158" 0.4 -1959.33241105891 0.467965940321854 0.334247765202436 231.171685732796
"159" 0.2 -1460.2614298513 0.457174555130501 0.328151892124119 229.342722133501
"160" 0 -3639.66593599718 0.0422400136960479 0.215481901854824 354.357147344225
"161" 0.2 -4235.14635868636 0.246304112365554 0.259038041597153 292.9464985703
"162" 0 -2905.89580153252 0.101784357411978 0.234830595876851 339.830139838392
"163" 0.2 -5065.66758325944 0.295267258623591 0.279696326344055 285.557812332723
"164" 0.2 -2174.61632119797 0.170383758795197 0.239848364269589 311.710793785669
"165" 0.4 -1112.5738607635 0.446536874828343 0.321293123837491 231.966567649925
"166" 0.2 -2517.6737521005 0.240585576746175 0.259094472073687 290.638950506831
"167" 0.6 -1759.37630745219 0.617364354967983 0.411975353540975 184.372035340092
"168" 0.2 -1286.02774909026 0.454105375346763 0.326363201285024 227.767062079045
"169" 0 -8966.52368682236 0.0485026349222809 0.217337598816164 352.964913940779
"170" 0 -5029.73567693458 0.0488501206844321 0.221581754994427 346.183896949701
"171" 0.2 -2830.68508861724 0.312645250821693 0.27502954752108 271.339278746536
"172" 0 -3928.79683194895 0.0429532893080983 0.217184317860663 352.332121912926
"173" 0.6 -1068.82781930067 0.642203857029523 0.442963891982657 180.566845881962
"174" 0.2 -3013.6448112457 0.239688459324353 0.257063926596811 292.961632671615
"175" 0.4 -1712.77672692246 0.529531729478365 0.358077759051854 206.686851178296
"176" 0.4 -4830.14478973132 0.555926733144531 0.378215006619126 204.489807023155
"177" 0.4 -7513.1988921696 0.550526909426075 0.364762148952968 206.275808388949
"178" 0.6 -888.172732977058 0.815062442654447 0.579746942237864 128.238604353671
"179" 0.2 -1771.54295523302 0.311269701083813 0.274040515741259 270.552611954766
"180" 0.4 -1767.96802438066 0.40676805986682 0.304701366407881 244.195703174034
"181" 0.4 -5038.96590482538 0.549754319342969 0.368655102445555 207.717837574787
"182" 0.2 -3927.28098799996 0.291489377021909 0.281699844778681 281.142341640685
"183" 0 -5875.29143022323 0.0621078886722467 0.224931369479416 344.619192706479
"184" 0.4 -4074.86697208689 0.404980247939773 0.309746303352557 247.721224989672
"185" 0.4 -4862.65547957604 0.603875927028497 0.403384622403693 196.15304541362
"186" 0.2 -4505.58790279977 0.575002024609904 0.386318867467064 205.944900998613
"187" 0.4 -2761.90140069155 0.558795911929174 0.378920320071035 202.695741282345
"188" 0.4 -1385.03984377015 0.503972233506063 0.36060804175689 221.696102435677
"189" 0 -2434.06201588624 0.0304286716039659 0.214759949232194 352.400299281848
"190" 0 -3866.16148474989 0.00734307637721998 0.206626182369663 359.516571144969
"191" 0.4 -1039.38356257186 0.625386658584742 0.419925822571656 184.025916845945
"192" 0.2 -4363.08195237385 0.260199414608529 0.263674708367443 292.615320408426
"193" 0.2 -4838.16306531662 0.335857205045454 0.297275064072292 268.800760702754
"194" 0.2 -2911.71591480429 0.327246170791977 0.281247249481302 269.063059571327
"195" 0.4 -5233.76824515003 0.417154576900055 0.317773584015352 244.416017067689
"196" 0.4 -1562.47859266009 0.404861453125119 0.311704723673143 245.818101343559
"197" 0.4 -3886.71710450256 0.739570024059727 0.498914647019668 151.683362256619
"198" 0.4 -3464.33890224578 0.446448556889891 0.319071463372525 235.982332759886
"199" 0.2 -2312.17793732729 0.344641398586031 0.296229214076089 262.393427014491
"200" 0.2 -3711.68207517312 0.374591237127488 0.307639324372995 257.185501901084
"201" 0 -2656.15345475943 0.0833171581753334 0.230461492809696 341.631670833845
"202" 0.4 -1878.01178011381 0.553870729915454 0.383192276680934 205.182930987596
"203" 0 -4670.27523911239 0.0701648570086915 0.225316836679297 345.905423759832
"204" 0.2 -4539.30177369169 0.467959364131867 0.333367483383009 232.236463381839
"205" 0.2 -4117.77610625945 0.365670125054229 0.308458019652486 258.145954961842
"206" 0.4 -842.918931118967 0.53653531240344 0.367154969218845 207.305451202963
"207" 0.4 -1362.669158741 0.477767340824539 0.335846836333877 222.06371497676
"208" 0.4 -2100.13302873227 0.475576300489062 0.329317775204885 228.082658111409
"209" 0.2 -2509.28242910358 0.526596195418672 0.363688398970899 213.906847332243
"210" 0.2 -2517.08381810356 0.345488822346791 0.290790147742036 266.07615583844
"211" 0.2 -2245.24914896775 0.372160664114254 0.306979926924509 259.701048126968
"212" 0.2 -1812.65968583301 0.481636203372899 0.333012223464914 223.73735297427
"213" 0.4 -3232.04617250241 0.386579565532321 0.295295948706266 251.415655695112
"214" 0.2 -3113.43749697758 0.278675164360805 0.27376520773979 286.65226916495
"215" 0.2 -1972.41983546134 0.28044815934699 0.27364437527242 278.367622968927
"216" 0.4 -1179.27774830015 0.554793326103664 0.369122482702834 202.269871350052
"217" 0.4 -2036.01818449119 0.522252356621051 0.375929117350139 215.489603300125
"218" 0.4 -6262.06748852448 0.495473731241122 0.353278905680394 226.681383276812
"219" 0.2 -3404.58650785763 0.387971375024975 0.302754044222251 256.512235862727
"220" 0.4 -5893.4937151223 0.401186966050877 0.311754765720135 245.210644743464
"221" 0.4 -1726.70072782387 0.498387856893836 0.357313615793222 222.132440133358
"222" 0.4 -3232.34774309225 0.433765848133645 0.328687012622196 240.336779420532
"223" 0 -3665.29175223408 0.0575530468648683 0.22357328554623 345.074439706618
"224" 0.2 -1500.53605857017 0.156747303374461 0.235100202784235 316.062379547407
"225" 0.2 -2097.37091682534 0.177700420649865 0.243802696457826 310.015307069861
"226" 0 -5009.92361362381 0.0169533634178306 0.206568691503894 363.383476827852
"227" 0.2 -5887.00557321604 0.291102205442311 0.280517280111989 281.682661296846
