Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
210	-815	-822.723	7.72261	1.683791	12.42882	0.0166021	0.0539094	0.0234653	0.0277427	0.0788252	0.00152898	0.0322868	0.0772005	0.0934566	0.0531897	0.0108761	0.0383949	0.0353295	0.0405275	0.042392	0.011843	0.0346859	0.0793289	0.113901	0.0770934	0.0885306	0.00411705	0.136812	0.207508	0.0546209	0.170307	0.00464947	0.128455	0.179695	0.140709	0.144476	0.0680057	0.0942045	0.0802293	0.118174	0.268271	0.101099	0.25237	0.616541	1.05961	2.07148	2.932443
220	-811.63	-819.274	7.64373	2.638614	13.57554	0.0431413	0.0455077	0.0448018	0.0103366	0.0493329	0.00386784	0.0538778	0.152801	0.0561891	0.0415392	0.0177912	0.0149982	0.0292102	0.0406538	0.0262143	0.0222414	0.0385945	0.258035	0.0771734	0.062225	0.197327	0.0108151	0.107133	0.0685977	0.0676807	0.117837	0.00526174	0.0989127	0.136284	0.289321	0.170993	0.084078	0.0484442	0.0965006	0.0812127	0.143364	0.0315606	0.359216	0.709328	1.08004	1.85141	2.843853
230	-799.126	-811.162	12.036	2.701427	13.2163	0.0337075	0.0638047	0.0428514	0.014615	0.0850746	0.0122956	0.0346923	0.120086	0.0327745	0.0685755	0.00453464	0.0150801	0.0290149	0.0321102	0.028126	0.00874466	0.0474435	0.167867	0.0873287	0.0843743	0.184095	0.0460761	0.0888872	0.0744114	0.0537436	0.0518208	0.00136218	0.0465662	0.110103	0.210794	0.112872	0.109681	0.0458556	0.082926	0.0605659	0.128602	0.0929541	0.364758	0.713531	1.08058	1.84113	2.514417
240	-809.049	-821.887	12.8374	2.049424	10.85445	0.0158525	0.123154	0.0366932	0.00487091	0.161098	0.0227125	0.01387	0.106304	0.0818309	0.0723922	0.0182839	0.00804401	0.0226676	0.00543505	0.0825002	0.021038	0.0354517	0.18615	0.0290565	0.0912291	0.0911001	0.00910219	0.0679948	0.0321595	0.0642619	0.0625962	0.000898486	0.0208193	0.0981303	0.0842737	0.0644425	0.0859764	0.10124	0.0823805	0.0468303	0.290119	0.0792362	0.299104	0.660168	1.07118	1.96955	2.420195
250	-810.082	-819.134	9.05248	5.35907	11.06271	0.00785701	0.0958661	0.0247203	0.00124584	0.223794	0.0523404	0.0173892	0.0479303	0.061886	0.127198	0.0205606	0.00812694	0.048614	0.00181925	0.122908	0.0216208	0.0283525	0.0866183	0.050386	0.120929	0.151673	0.00862843	0.124147	0.0170767	0.0441423	0.107248	0.000940255	0.0673008	0.142231	0.129084	0.0973587	0.0484097	0.0494324	0.0651104	0.0583553	0.106578	0.0895158	0.51634	0.812085	1.08263	1.58895	2.477392
260	-793.612	-809.89	16.2781	1.883962	12.78237	0.0227722	0.0606716	0.0444424	0.00254493	0.117802	0.0190609	0.0193038	0.0206254	0.0392666	0.0555662	0.00899624	0.00707957	0.037162	0.00277002	0.0341358	0.0106699	0.0932492	0.0890294	0.0386239	0.0798162	0.0890863	0.00119302	0.105045	0.00932765	0.0657976	0.0970973	0.00133506	0.116865	0.188336	0.192062	0.0448525	0.051445	0.11273	0.0665629	0.0606991	0.173946	0.0620448	0.279018	0.642079	1.06679	2.01211	2.242014
270	-807.036	-821.825	14.7891	2.519957	22.56586	0.0210175	0.0429467	0.0288886	0.00234612	0.113004	0.019967	0.0137143	0.01148	0.0356098	0.0668001	0.0308114	0.0159029	0.01157	0.00183956	0.0496333	0.0754442	0.100967	0.185059	0.00985659	0.0955835	0.166474	0.000457435	0.0701845	0.00557434	0.0747339	0.0517269	0.00144202	0.180258	0.0847853	0.0990646	0.0146958	0.0183692	0.0915941	0.102725	0.067967	0.167497	0.0230101	0.348341	0.70093	1.07885	1.87188	2.153002
280	-799.557	-816.776	17.2191	2.50602	21.48142	0.0121034	0.052452	0.0373558	0.00816498	0.0902207	0.00754031	0.0582922	0.00559484	0.0526356	0.0415042	0.00376912	0.0278406	0.0313735	0.00255511	0.0617313	0.0556038	0.1052	0.129669	0.0292131	0.102851	0.11777	0.000484741	0.0383986	0.00302716	0.100935	0.0224589	0.00410084	0.0813928	0.16728	0.0977277	0.0154733	0.0779856	0.0619234	0.0528645	0.0512685	0.184486	0.0812359	0.347027	0.699902	1.0787	1.87438	2.074485
290	-804.312	-820.965	16.6535	1.929654	19.83135	0.0317623	0.0347741	0.0421415	0.0192256	0.111454	0.00850922	0.0711129	0.00858542	0.0658007	0.0287136	0.0088697	0.0138218	0.026111	0.0100077	0.0113213	0.0339067	0.129544	0.0936979	0.0851267	0.214011	0.103108	0.000803538	0.0494157	0.00503633	0.0353683	0.028143	0.0214236	0.0383629	0.0895429	0.169831	0.0481518	0.0301191	0.0410036	0.0672627	0.0572191	0.253564	0.0853454	0.28473	0.647319	1.06813	1.99983	2.172198
300	-793.876	-819.256	25.3794	1.474248	25.10689	0.0222132	0.0660188	0.0285881	0.018866	0.101721	0.0161375	0.0301349	0.00727094	0.0707325	0.0316339	0.0121766	0.0196013	0.0307141	0.00664782	0.0061374	0.0318723	0.0721584	0.173503	0.0151379	0.092833	0.0564301	0.000881758	0.0500009	0.0148816	0.0208254	0.0670139	0.0118493	0.0512497	0.0929432	0.0639095	0.0465934	0.0135637	0.0803909	0.0489144	0.0687371	0.124211	0.0254534	0.221317	0.584213	1.04887	2.1456	1.691947
