Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
230	-236.929	-267.617	30.6877	0.9420918	31.67932	0.0588067	0.011844	0.0208662	0.00799885	0.0408067	0.00348692	0.00317728	0.0311975	0.0239065	0.0115157	0.0217685	0.00734465	0.0367448	0.00127865	0.0384683	0.00654268	0.00222408	0.0328516	0.00951695	0.0594711	0.238296	0.0735444	0.039904	0.0884677	0.00847091	0.0145572	0.0152029	0.0463725	0.0220443	0.12526	0.458626	0.9897	2.42641	0.9766781
240	-237.318	-269.569	32.2503	1.158559	26.64542	0.0307734	0.00479355	0.0320294	0.00439766	0.0496192	0.000753705	0.00442147	0.0280112	0.041158	0.0106156	0.0230982	0.00456962	0.0144543	0.000721907	0.0128914	0.00444746	0.000959225	0.0269044	0.00904857	0.0519498	0.226987	0.109496	0.0444999	0.0677885	0.00787085	0.00601178	0.0265466	0.0622521	0.0368043	0.167463	0.519722	1.022	2.29081	0.9438744
250	-234.849	-263.267	28.4181	1.59684	22.06699	0.0583582	0.00397703	0.0871022	0.00249089	0.0288795	0.000364251	0.00252989	0.012655	0.048419	0.00639999	0.0197504	0.00298883	0.0163648	0.000840989	0.0302691	0.00532401	0.000843436	0.0708185	0.00859219	0.0336023	0.185075	0.15696	0.0754752	0.136135	0.00919558	0.0373067	0.0153672	0.0158691	0.0152797	0.239902	0.60392	1.05564	2.10054	1.087233
260	-237.102	-260.884	23.7826	0.7664042	16.67233	0.0677242	0.00229057	0.115208	0.00244292	0.00934549	0.000685617	0.00702052	0.00670552	0.0199109	0.00925659	0.0221367	0.00276565	0.0370615	0.00121162	0.0214825	0.003514	0.000599789	0.105955	0.0124353	0.0214224	0.165477	0.309204	0.0575861	0.153516	0.0060901	0.0374599	0.0157248	0.0813406	0.0484005	0.0883926	0.393248	0.947193	2.57117	1.343974
270	-242.616	-270.608	27.9919	1.029619	21.74462	0.0452777	0.000996984	0.1127	0.00411643	0.0283785	0.00126974	0.0179756	0.024785	0.0247355	0.00836797	0.0125715	0.0181431	0.036386	0.000307806	0.0426512	0.0133169	0.000913894	0.0716628	0.0576074	0.0112008	0.218538	0.08834	0.0341898	0.122788	0.00667771	0.0204518	0.0137862	0.0606528	0.0335887	0.142826	0.485477	1.00474	2.36696	1.132379
280	-241.492	-269.665	28.1732	0.7062851	23.08368	0.0459653	0.00116272	0.110786	0.0138653	0.0191634	0.00123222	0.0212086	0.0150331	0.0267364	0.0103856	0.0213391	0.00296356	0.0110809	0.0017022	0.00858946	0.0406325	0.000373643	0.0218308	0.023594	0.0293322	0.165499	0.179974	0.0768871	0.157212	0.00888414	0.0175862	0.0137579	0.0630918	0.0264465	0.0755313	0.366481	0.927175	2.63081	1.136316
290	-241.624	-269.293	27.6688	1.044836	20.94096	0.0412562	0.00437309	0.0937029	0.002299	0.0493746	0.00076617	0.00925692	0.0783485	0.0788758	0.0161886	0.0199277	0.00334555	0.0291007	0.00405402	0.0596114	0.0996941	0.00185827	0.00817286	0.025933	0.0199347	0.193871	0.0891942	0.02316	0.075732	0.00265892	0.0149565	0.00823732	0.0316613	0.0605162	0.145812	0.489826	1.00705	2.35731	1.146062
300	-250.299	-276.953	26.6543	1.467887	18.16917	0.0256048	0.0113086	0.119343	0.00114797	0.012188	0.00110233	0.00536295	0.112503	0.0430686	0.00465626	0.00992831	0.00386932	0.0624975	0.0190706	0.0245214	0.0920835	0.00100243	0.00873102	0.0200617	0.0301264	0.124518	0.0752171	0.048462	0.109796	0.00824925	0.0350884	0.00510274	0.0342336	0.108501	0.220319	0.583122	1.04848	2.14808	1.157345
310	-243.157	-269.015	25.8579	0.6993759	22.80541	0.0886895	0.00720172	0.0780932	0.00256644	0.0119426	0.000348814	0.00280351	0.0797159	0.0482358	0.0024641	0.00732894	0.00150867	0.0242566	0.00971796	0.0475861	0.100945	0.00157543	0.0765128	0.032696	0.0270329	0.188997	0.0395406	0.0611578	0.0937243	0.0334788	0.0509976	0.00657669	0.0903108	0.02302	0.074055	0.363236	0.924637	2.63807	1.239025
320	-241.455	-269.611	28.156	2.510098	25.31161	0.0586985	0.00232717	0.0363092	0.0124047	0.0224809	0.000647857	0.0125983	0.0501107	0.0289496	0.00740843	0.00211219	0.00294536	0.0194583	0.0107215	0.00954302	0.131563	0.0154143	0.0684544	0.0402066	0.032864	0.186627	0.0217711	0.0170692	0.0283003	0.0204949	0.124299	0.00975529	0.0590001	0.021139	0.347412	0.700204	1.07874	1.87364	1.053673
