Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
200	-1927.5	-1944.55	17.0537	0.9398191	16.6727	0.0415143	0.0345876	0.0338968	0.144451	0.0280303	0.0272774	0.0452161	0.103689	0.0144428	0.00386	0.0263059	0.120482	0.00236621	0.043726	0.0904798	0.0274431	0.00100489	0.0572306	0.0119259	0.0446068	0.0822522	0.0661202	0.186299	0.0572214	0.0599039	0.0159652	0.258283	0.105863	0.0643236	0.00808934	0.0398929	0.0659639	0.0385909	0.0349268	0.0155282	0.0153603	0.0186123	0.105289	0.0462388	0.0139292	0.228161	0.175431	0.100885	0.0227198	0.0592642	0.0619381	0.0121551	0.124795	0.457884	0.989266	2.42805	2.861744
210	-1941	-1951.06	10.0565	2.000835	13.01947	0.0879334	0.105898	0.0721044	0.0758188	0.0428842	0.0653337	0.0552371	0.165206	0.00592081	0.0112209	0.013451	0.0602858	0.00607477	0.0473237	0.132711	0.0190165	0.00338324	0.030371	0.0229568	0.0486026	0.087272	0.0382921	0.112392	0.0693177	0.0592901	0.0205714	0.243254	0.2248	0.0674783	0.0263158	0.0263241	0.0971681	0.055656	0.0607862	0.0184819	0.0207445	0.0382878	0.053196	0.0981453	0.00680159	0.265044	0.234108	0.0545866	0.0501174	0.0808323	0.0804007	0.0225628	0.293374	0.655102	1.07001	1.98151	3.283961
220	-1929.11	-1938.89	9.78211	1.720953	9.978981	0.0330812	0.017943	0.0331296	0.145079	0.0301361	0.0717346	0.0488341	0.0534054	0.00301614	0.0448061	0.00387929	0.0657118	0.0114039	0.0470756	0.177271	0.0255947	0.00373894	0.0299623	0.0148099	0.0171464	0.0802944	0.0580056	0.159831	0.0192752	0.138107	0.0216913	0.223084	0.185218	0.0665701	0.0408252	0.0558563	0.0259127	0.100567	0.0484337	0.0376256	0.0376837	0.026407	0.0554334	0.122354	0.0113031	0.34423	0.186929	0.0271489	0.063991	0.0814807	0.0292786	0.0230682	0.257527	0.621631	1.06114	2.05971	3.148364
230	-1925.99	-1939.7	13.7018	0.9108141	15.74964	0.0190134	0.0168166	0.0446238	0.0628628	0.0607099	0.114018	0.0170925	0.0333359	0.00309596	0.0175542	0.00839408	0.0962027	0.0223935	0.0499356	0.154046	0.0448479	0.00524218	0.0784049	0.0215918	0.0123641	0.0720859	0.0755188	0.0986504	0.0182925	0.0989611	0.0135176	0.193207	0.12619	0.0722018	0.0127695	0.0204831	0.0679242	0.0721656	0.0345799	0.0282425	0.114887	0.0447133	0.0481234	0.108968	0.0264958	0.34271	0.22493	0.0453481	0.0274103	0.136269	0.0343875	0.044307	0.118833	0.4482	0.983493	2.44947	3.085886
240	-1923.91	-1941.7	17.7975	0.9188115	19.79578	0.0701264	0.0251723	0.0803434	0.0581912	0.0484678	0.0683999	0.0129688	0.0328183	0.00493519	0.0180933	0.0160848	0.0994022	0.00900777	0.0429432	0.0779622	0.0231572	0.002343	0.0588585	0.0250924	0.0137109	0.0540094	0.0489255	0.174142	0.00677829	0.134652	0.011986	0.284941	0.0570355	0.0509062	0.00405135	0.0615501	0.0500425	0.0973668	0.026807	0.0466762	0.0600581	0.0243089	0.0358926	0.10843	0.0386874	0.191299	0.151415	0.0645999	0.0184762	0.0923107	0.0348128	0.0316033	0.120483	0.450911	0.985127	2.44348	2.749842
250	-1924.01	-1949.73	25.7144	0.481167	20.18641	0.0312631	0.0140554	0.0349843	0.0882519	0.0696405	0.0528309	0.00724977	0.0653703	0.00766107	0.0150358	0.0143095	0.105294	0.0100089	0.0685955	0.0891869	0.0475666	0.00428443	0.0616534	0.0261498	0.014181	0.0369579	0.0660401	0.139571	0.0102299	0.0886926	0.0508764	0.15893	0.0833099	0.0153556	0.00481354	0.0542807	0.0223892	0.0138229	0.0428738	0.00775353	0.0338038	0.0499988	0.0346477	0.0406397	0.0314492	0.183927	0.125017	0.0962097	0.0218991	0.0511966	0.0458508	0.0296353	0.0299525	0.239443	0.806066	2.92454	2.367745
260	-1934.79	-1950.59	15.8008	0.4882266	21.26479	0.0341004	0.0210689	0.089641	0.0582016	0.0648078	0.052251	0.0340856	0.0528778	0.0154632	0.0166379	0.0235566	0.14686	0.00468777	0.0807976	0.139749	0.027681	0.00195245	0.0411066	0.0511606	0.0100964	0.0447667	0.0577351	0.122066	0.0228849	0.0624543	0.0505194	0.30421	0.098149	0.0221479	0.0186298	0.0251375	0.0456375	0.020429	0.0379048	0.0274042	0.0703511	0.0467393	0.00863709	0.0837014	0.042669	0.279768	0.1667	0.0335388	0.0431524	0.0592254	0.025912	0.0311681	0.0312269	0.24416	0.811509	2.9131	2.818423
270	-1926.87	-1949.09	22.2231	0.8168368	22.9555	0.0725157	0.0345279	0.0389716	0.0453748	0.0453721	0.0321701	0.0180853	0.0400742	0.0312853	0.0440609	0.0283822	0.0803731	0.00548426	0.0434935	0.0718025	0.0144526	0.00184719	0.0501287	0.0162514	0.022734	0.0534542	0.0646801	0.20094	0.0351585	0.0789742	0.0328461	0.212768	0.0555974	0.0367253	0.0259494	0.023122	0.0326094	0.048434	0.0217894	0.0433868	0.0304207	0.0280782	0.0111996	0.02247	0.0991806	0.235917	0.166671	0.0458707	0.00800998	0.0561717	0.0235874	0.0272657	0.0991361	0.413825	0.961513	2.52553	2.458664
280	-1928.77	-1943.62	14.8491	0.9637461	10.88988	0.0463311	0.0478059	0.0516205	0.186218	0.0470536	0.0386395	0.0306886	0.0405996	0.00932353	0.0634179	0.0266193	0.0762759	0.00177066	0.0404077	0.109761	0.0302219	0.0014976	0.084841	0.0220733	0.0157221	0.0454749	0.0459175	0.101171	0.0386931	0.0933684	0.0600023	0.226071	0.0913389	0.0382141	0.0229263	0.0476735	0.052067	0.0900305	0.020466	0.0402666	0.0304205	0.0137321	0.0445933	0.0132115	0.116859	0.286887	0.192432	0.0489852	0.00764658	0.065309	0.00698472	0.0378998	0.129665	0.465577	0.993723	2.41104	2.849531
290	-1917.59	-1935.92	18.3344	1.01627	16.26075	0.0294582	0.0158346	0.0717772	0.0991066	0.0493057	0.0664068	0.0541205	0.0585574	0.0048569	0.0221528	0.0325874	0.134052	0.00178164	0.0692536	0.0785896	0.0125216	0.0010345	0.0414276	0.0271808	0.00606738	0.0288552	0.059523	0.111603	0.116001	0.0621979	0.0348207	0.179957	0.0760936	0.0229721	0.00658644	0.0703321	0.0556221	0.0592531	0.0210644	0.036703	0.0163822	0.029661	0.134969	0.0136059	0.0548219	0.244674	0.194843	0.158617	0.0135224	0.0471357	0.0192651	0.0383759	0.140189	0.481588	1.00264	2.37558	2.783531
