"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_56" 233.77 565.74 2510.49 305.9 0.551724137931034 -142.007100996706 0.882136814555087 0.540707745607523 0.994288690739002 5.1591635044195e-10 7.72523587834811e-12 7.09178713477195e-17 1 1 0 1
"tree_57" 233.77 545.31 2510.49 305.9 0.586206896551724 -133.267741797493 0.89140384379862 0.560965322477123 0.974207373101659 5.38651379505398e-11 2.52991968765998e-13 6.35427742476574e-20 1 1 0 1
"tree_58" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_59" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_60" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_61" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_62" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_63" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_64" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_65" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_66" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_67" 233.77 531.51 2510.49 305.9 0.517241379310345 -127.364503571887 0.897663511129054 0.575530093507178 0.999058892828993 1.09345969672607e-11 2.0435032576381e-14 2.70419211025889e-22 1 1 0 1
"tree_68" 233.77 545.31 2510.49 305.9 0.586206896551724 -133.267741797493 0.89140384379862 0.560965322477123 0.974207373101659 5.38651379505398e-11 2.52991968765998e-13 6.35427742476574e-20 1 1 0 1
